Date,Close,Percent Change,Volume
2/8/2021,2561.47,0.00%,"10,619,163,869.00"
2/9/2021,2532.46,0.00%,"8,146,269,193.00"
2/10/2021,2543.03,0.00%,"7,649,411,398.00"
2/11/2021,2526.92,0.00%,"8,411,732,003.00"
2/14/2021,2493.59,0.00%,"6,927,668,931.00"
2/15/2021,2586.01,0.00%,"10,384,197,669.00"
2/16/2021,2601.51,0.00%,"10,035,454,955.00"
2/17/2021,2611.45,0.00%,"8,035,510,844.00"
2/18/2021,2636.68,0.00%,"8,762,146,785.00"
2/21/2021,2640.34,0.00%,"8,834,603,967.00"
2/22/2021,2607.67,- %,"8,406,310,671.00"
2/23/2021,2586.51,0.00%,"8,561,539,426.00"
2/24/2021,2599.07,0.00%,"6,701,872,439.00"
2/25/2021,2554.13,0.00%,"6,098,188,414.00"
2/28/2021,2474.39,0.00%,"8,355,289,814.00"
3/1/2021,2515.03,0.00%,"5,692,316,831.00"
3/2/2021,2455.33,0.00%,"6,119,638,669.00"
3/3/2021,2416.01,0.00%,"6,254,809,441.78"
3/4/2021,2506.68,0.00%,"6,058,104,316.76"
3/7/2021,2485.1,0.00%,"5,005,466,480.04"
3/9/2021,2461.88,0.00%,"4,752,708,147.00"
3/10/2021,2458.49,0.00%,"4,100,406,336.64"
3/14/2021,2407.26,0.00%,"4,952,722,195.34"
3/15/2021,2389.19,0.00%,"4,248,424,066.10"
3/16/2021,2391.75,0.00%,"3,375,699,339.03"
3/17/2021,2432.15,0.00%,"3,374,552,177.73"
3/18/2021,2475.09,0.00%,"4,661,792,186.86"
3/21/2021,2538.47,0.00%,"5,919,824,569.16"
3/22/2021,2514.4,0.00%,"5,351,337,289.75"
3/23/2021,2528.96,0.00%,"5,141,897,169.20"
3/24/2021,2570.31,0.00%,"6,674,423,940.60"
3/25/2021,2548.97,0.00%,"6,500,806,040.03"
3/29/2021,2543.52,0.00%,"4,410,345,029.57"
3/30/2021,2575.67,0.00%,"6,185,679,497.56"
3/31/2021,2619.03,0.00%,"6,166,900,815.53"
4/1/2021,2631.9,0.00%,"7,250,924,123.60"
4/4/2021,2657.61,0.00%,"9,006,858,557.96"
4/5/2021,2658.75,0.00%,"7,296,760,155.82"
4/6/2021,2674.47,0.00%,"7,477,795,737.92"
4/7/2021,2671.62,0.00%,"7,266,972,569.76"
4/8/2021,2674.36,0.00%,"6,556,616,679.95"
4/12/2021,2691.56,0.00%,"7,610,828,049.72"
4/13/2021,2714.79,0.00%,"7,143,151,000.27"
4/15/2021,2735.4,0.00%,"8,636,668,659.43"
4/18/2021,2699.51,0.00%,"8,801,803,214.97"
4/19/2021,2661.94,0.00%,"6,766,801,223.82"
4/20/2021,2664.62,0.00%,"5,538,617,640.49"
4/21/2021,2632.21,0.00%,"5,772,251,202.75"
4/22/2021,2648.01,0.00%,"5,915,139,887.96"
4/25/2021,2572.21,0.00%,"7,284,194,901.09"
4/26/2021,2506.62,0.00%,"6,590,928,202.41"
4/27/2021,2599.08,0.00%,"5,109,096,957.06"
4/28/2021,2585.28,-0.53%,"3,990,431,235.93"
4/29/2021,2611.11,1.00%,"4,357,019,248.68"
5/2/2021,2665.11,2.07%,"7,360,800,500.33"
5/3/2021,2652.58,-0.46%,"7,529,290,146.00"
5/4/2021,2654.03,0.07%,"5,894,773,562.00"
5/5/2021,2649.6,-0.19%,"6,216,814,313.04"
5/6/2021,2637.13,-0.47%,"6,810,091,452.53"
5/9/2021,2618.63,-0.72%,"6,148,966,772.34"
5/10/2021,2645.85,1.02%,"4,203,832,788.74"
5/11/2021,2673.32,0.98%,"5,810,673,070.66"
5/12/2021,2673.88,-0.07%,"5,326,052,801.48"
5/13/2021,2684.01,0.37%,"7,126,885,280.36"
5/16/2021,2738.3,2.02%,"10,403,879,000.34"
5/17/2021,2759.22,0.73%,"9,576,361,139.17"
5/18/2021,2793.81,1.24%,"11,359,360,091.96"
5/19/2021,2780.81,-0.62%,"11,958,097,410.72"
5/20/2021,2787.19,0.24%,"9,305,222,003.60"
5/23/2021,2820,0.96%,"11,695,034,728.26"
5/24/2021,2823.05,0.02%,"13,175,353,187.83"
5/25/2021,2816.6,-0.26%,"11,133,398,107.56"
5/27/2021,2815.4,-0.01%,"14,768,808,492.24"
5/30/2021,2827.93,0.42%,"17,028,432,244.91"
5/31/2021,2782.86,0.32%,"13,604,619,431.20"
6/1/2021,2771.15,-0.51%,"8,598,160,117.00"
6/2/2021,2827.13,1.86%,"11,351,815,356.00"
6/3/2021,2856.77,1.00%,"16,907,020,286.00"
6/6/2021,2906.91,1.72%,"17,271,787,524.50"
6/7/2021,2906.7,0.00%,"15,818,659,062.50"
6/8/2021,2960.14,1.84%,"16,951,320,640.00"
6/9/2021,2946.58,-0.52%,"16,997,092,703.41"
6/10/2021,2944.78,-0.07%,"16,100,412,435.50"
6/13/2021,2983.11,1.23%,"19,550,166,636.00"
6/14/2021,3025.83,1.39%,"18,884,031,518.50"
